Lemma_automatisch,Lemma_awb,Flexion,Komplexität,Mhd. Lemma,mhd_Flexion,Nhd. ÜS,Token,Kasus_token,Numerus_token,Texttyp,Edition,Handschrifteninfo_in_Klammern,Fragen
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Gl 2,245,36","Sg 299, 9./10. Jh.",
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Gl 2,246,47",,
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Gl 2,738,5",,
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Gl 3,17,34",,
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Gl 3,80,56","SH A, 6 Hss.",
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Gl 3,201,75",SH B,
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Gl 3,257,14",SH a2,
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Gl 3,442,48",,
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Gl 3,445,10",,
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Gl 3,446,48",,
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Gl 3,448,5",,
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Gl 5,58,4",,
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Nb 164,8",,
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Nb 343,22","[176,10. 376,13]",
affo,affo,sw. m.,simplex,,,affe,affe,nom,sg,Glosse,"Gl 3,34,5",3 Hss.,
affo,affo,sw. m.,simplex,,,affe,affe,nom,sg,Glosse,"Gl 3,257,14",SH a2,
affo,affo,sw. m.,simplex,,,affe,affe,nom,sg,Glosse,"Gl 3,355,68",,
affo,affo,sw. m.,simplex,,,affe,affe,nom,sg,Glosse,"Gl 3,674,26",,
affo,affo,sw. m.,simplex,,,affe,affe,nom,sg,Glosse,"Gl 3,714,71",,
affo,affo,sw. m.,simplex,,,affe,affe,nom,sg,Glosse,"Gl 4,97,33",Sal. a1,
affo,affo,sw. m.,simplex,,,affe,affe,nom,sg,Glosse,"Gl 4,191,58",,
affo,affo,sw. m.,simplex,,,affe,affa,nom,sg,Glosse,"Gl 3,34,5",,
affo,affo,sw. m.,simplex,,,affe,affa,nom,sg,Glosse,"Gl 3,80,58","SH A, 15. Jh.",
affo,affo,sw. m.,simplex,,,affe,affen,nom,pl,Glosse,"Nb 164,7","[176,9]",
affo,affo,sw. m.,simplex,,,affe,affun,acc,pl,Glosse,"Gl 1,431,49",,
affo,affo,sw. m.,simplex,,,affe,affen,acc,pl,Glosse,"Gl 1,430,41",12. Jh.,
affo,affo,sw. m.,simplex,,,affe,afpho,nom,sg,Glosse,"Gl 2,261,46",Echternach 9. Jh.,
affo,affo,sw. m.,simplex,,,affe,aphpho,nom,sg,Glosse,"Gl 3,446,48",11. Jh.,
affo,affo,sw. m.,simplex,,,affe,aphpho,nom,sg,Glosse,"Gl 3,80,56",SH A,
affo,affo,sw. m.,simplex,,,affe,aphe,nom,sg,Glosse,"Gl 4,191,58",14. Jh.,
affo,affo,sw. m.,simplex,,,affe,aph],nom,sg,Glosse,"Gl 3,34,7",13. Jh.,
affo,affo,sw. m.,simplex,,,affe,aph],nom,sg,Glosse,"Gl 2,580,56 = Wa 94,35",Werden 11. Jh.,
affo,affo,sw. m.,simplex,,,affe,aph],nom,sg,Glosse,"Gl 2,449,41","clm 14 395, 11. Jh.",
affoltarboum,affoltarboum,,,,,,,,,,,,Kein Formen-Block gefunden - vermutlich Verweis-Eintrag. Volltext: affoltarboum s. affalterboum st. m.
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affultra,nom,sg,Glosse,"Gl 3,466,23",Sg 299,
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affoltra,nom,sg,Glosse,"Gl 3,38,30",,
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affoltra,nom,sg,Glosse,"Gl 3,93,17","SH A, 2 Hss.",
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affoldre,nom,sg,Glosse,"Gl 3,386,43",Jd,
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affoldera,nom,sg,Glosse,"Gl 3,246,35",SH a2,
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affoldera,nom,sg,Glosse,"Gl 3,503,34",,
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affolder,nom,sg,Glosse,"Gl 3,246,35",SH a2,
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affoltro,dat,sg,Glosse,"Gl 1,399,52","M, 2 Hss., in Wien 2723 über -trun geschr. ł ro",
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affoltro,dat,sg,Glosse,"Gl 1,551,40",M,
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affaltra,nom,sg,Glosse,"Gl 3,93,16","SH A, 2 Hss.",
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affaltra,nom,sg,Glosse,"Gl 3,195,12",SH B,
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affaltra,nom,sg,Glosse,"Gl 3,466,22",,
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affaltera,nom,sg,Glosse,"W 28,2",,
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affaltere,nom,sg,Glosse,"Gl 3,676,27",,
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affalter,nom,sg,Glosse,"Gl 3,38,34","6 Hss., 3 Hss.-ts, 1 Hs.-",
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affalter,nom,sg,Glosse,"Gl 3,326,20","SH f, -ts",
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affalter,nom,sg,Glosse,"Gl 3,468,33",,
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affaldra,nom,sg,Glosse,"Gl 3,246,34","SH a2, 2 Hss.",
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affalds,nom,sg,Glosse,"Gl 3,38,35",,
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affalds,dat,sg,Glosse,"Gl 1,399,53",,
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affeltra,nom,sg,Glosse,"Gl 3,38,37",,
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affeltra,nom,sg,Glosse,"Gl 3,93,18",SH A,
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affeltra,nom,sg,Glosse,"Gl 3,303,48",,
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affeltra,nom,sg,Glosse,"Gl 3,352,69",,
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affeldera,nom,sg,Glosse,"Gl 3,93,18",,
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affiltra,nom,sg,Glosse,"Gl 3,38,36",3 Hss.,
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affiltra,nom,sg,Glosse,"Gl 3,93,17",SH A,
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",affiltra,nom,sg,Glosse,"Gl 3,466,22",,
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",afpholter,nom,sg,Glosse,"Gl 3,38,31",11. Jh.,
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",afolter,nom,sg,Glosse,"Gl 3,195,12",SH B,
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",afal,nom,sg,Glosse,"Gl 3,3,25","Berl. Lat. 40 676, 9. Jh. Reichenau",
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",afal,nom,sg,Glosse,"Gl 3,466,22",2 Hss.,
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",afelts,nom,sg,Glosse,"Gl 3,713,27",,
affoltra,affoltra,st. sw. f.,simplex,apfalter,,"affolter (bair. affalter m. f., vgl. Schm. 1,41)",afiltra,nom,sg,Glosse,"Gl 3,38,37",,
affoltrîn,affoltrîn,adj.,simplex,,,,affoltren,nom,sg,Glosse,"Gl 3,388,58",Jd,
affoltrîn,affoltrîn,adj.,simplex,,,,affoltrinin,dat,pl,Glosse,"Gl 1,439,40",,
affoltrîn,affoltrîn,adj.,simplex,,,,affaltirinen,dat,pl,Glosse,"Gl 1,430,46",Zwiefalten 12. Jh.,
affoltrîn,affoltrîn,adj.,simplex,,,,affaltirinen,dat,pl,Glosse,"Gl 1,432,33","Sg 299, -e",
affoltrîn,affoltrîn,adj.,simplex,,,,afiltrinan,dat,pl,Glosse,"Gl 1,431,55",10. Jh.,
affoltrîn,affoltrîn,adj.,simplex,,,,afiltrinan,dat,pl,Glosse,"Gl 1,1,439",,
affoltrîn,affoltrîn,adj.,simplex,,,,afiltrinan,dat,pl,Glosse,"Gl 5,92,10",,
affoltrîn,affoltrîn,adj.,simplex,,,,haflaltrinin,dat,pl,Glosse,"Gl 5,439,42","M, 11./12. Jh.",
afful,afful,,simplex,,,,,,,,,,Kein Formen-Block gefunden - vermutlich Verweis-Eintrag. Volltext: afful s. apful st. m.
affurreis,affurreis,,simplex,,,,,,,,,,"Kein Formen-Block gefunden - vermutlich Verweis-Eintrag. Volltext: affurreis Gl 3,162,15 s. afterreif st. m."
afgetali,afgetali,ndfrk.,simplex,,,,,,,,,,Kein Formen-Block gefunden - vermutlich Verweis-Eintrag. Volltext: afgetali ndfrk. s. abgezzalî st. f.
âfîhali,âfîhali,st. n.,simplex,,,,,,,Glosse,"Gl 3,677,41","Innsbr. 711, 13. Jh.",
aflât,aflât,,simplex,,,,,,,,,,Kein Formen-Block gefunden - vermutlich Verweis-Eintrag. Volltext: aflât s. ablâz st. m.
afonstig,afonstig,as.,simplex,,,,,,,,,,Kein Formen-Block gefunden - vermutlich Verweis-Eintrag. Volltext: [afonstig as. s. abunstîg adj.]
afpul,afpul,,simplex,,,,,,,,,,Kein Formen-Block gefunden - vermutlich Verweis-Eintrag. Volltext: afpul s. apful st. m.
afreta,afreta,,simplex,,,,,,,,,,Kein Formen-Block gefunden - vermutlich Verweis-Eintrag. Volltext: afreta s. abrûta sw. f.
aftan,aftan,adv.,simplex,,,,afdan,,,Glosse,"672,58",,
aftanantig,aftanantig,,,,,,,,,,,,Kein Formen-Block gefunden - vermutlich Verweis-Eintrag. Volltext: aftanantig s. aftanntîg adj.
aftanentig,aftanentig,,,,,,,,,,,,Kein Formen-Block gefunden - vermutlich Verweis-Eintrag. Volltext: aftanentig s. aftanntîg adj.
aftanentigî,aftanentigî,st. f.,,,,,,,,Glosse,"Gl 1,598,56",,
aftanentigî,aftanentigî,st. f.,,,,,e,,,Glosse,"Gl 4,142,8",Sal. c,
aftanentigî,aftanentigî,st. f.,,,,,in,dat,pl,Glosse,"Gl 1,598,59","M, 11./12. Jh.",
aftanntîg,aftanntîg,adj.,,,,,aftanontic,,,Glosse,"Gl 1,256,30",Ra,
aftanntîg,aftanntîg,adj.,,,,,aftanontic,,,Glosse,"Gl 2,636,44","clm 18 059, 11. Jh.",
aftanntîg,aftanntîg,adj.,,,,,aftanontic,,,Glosse,"Gl 2,627,37",ebda.,
aftanntîg,aftanntîg,adj.,,,,,aftanontic,,,Glosse,"Gl 1,256,30",K,
aftanntîg,aftanntîg,adj.,,,,,aftanontic,,,Glosse,"Gl 2,680,1","Schlettst., 12. Jh.",
aftanntigî,aftanntigî,,,,,,,,,,,,Kein Formen-Block gefunden - vermutlich Verweis-Eintrag. Volltext: aftanntigî s. aftanentigî st. f.
aftara,aftara,,simplex,,,,,,,,,,"Kein Formen-Block gefunden - vermutlich Verweis-Eintrag. Volltext: aftara (Pa), aftari (K Ra) Gl 1,154,28 sind mir nach Form und Bedeutung nicht klar. Die völlig verderbte Stelle (lat. urspr. fidibus chordis citharae vel filis entstellt zu fidibus cordibus citera vel filiis und wiedergegeben durch calihida hercin aftara edo chindum, vgl. Kögel S. III; Baesecke, Abrog. S. 109) läßt nicht erkennen, ob der Glossator citera als nom. sg. f. des Adj. citer, dem aftara (Pa) entsprechen könnte (sw., vgl. aftero adj. comp.), oder als Adv. citra, von K Ra mit aftari (nach nidari, uuidari usw.?) übersetzt, verstanden hat. Bedeutungsmäßig läßt sich citer, citra ‘diesseitig, diesseits’ schwer mit after- ‘nach, hinter’ verbinden."
aftara,aftara,,simplex,,,,,,,,,,"Kein Formen-Block gefunden - vermutlich Verweis-Eintrag. Volltext: aftara (Pa), aftari (K Ra) Gl 1,154,28 sind mir nach Form und Bedeutung nicht klar. Die völlig verderbte Stelle (lat. urspr. fidibus chordis citharae vel filis entstellt zu fidibus cordibus citera vel filiis und wiedergegeben durch calihida hercin aftara edo chindum, vgl. Kögel S. III; Baesecke, Abrog. S. 109) läßt nicht erkennen, ob der Glossator citera als nom. sg. f. des Adj. citer, dem aftara (Pa) entsprechen könnte (sw., vgl. aftero adj. comp.), oder als Adv. citra, von K Ra mit aftari (nach nidari, uuidari usw.?) übersetzt, verstanden hat. Bedeutungsmäßig läßt sich citer, citra ‘diesseitig, diesseits’ schwer mit after- ‘nach, hinter’ verbinden."
aftari,aftari,,simplex,,,,,,,,,,"Kein Formen-Block gefunden - vermutlich Verweis-Eintrag. Volltext: aftari Gl 1,154,28 (K Ra) adv.? s. aftara."
aftaro,aftaro,,simplex,,,,,,,,,,Kein Formen-Block gefunden - vermutlich Verweis-Eintrag. Volltext: aftaro s. aftero adj. comp.
aftarôsto,aftarôsto,,simplex,,,,,,,,,,Kein Formen-Block gefunden - vermutlich Verweis-Eintrag. Volltext: aftarôsto s. aftrôsto adj. superl.
after,after,präp. u. adv.,simplex,,,,aftar,,,Glosse,"Gl 1,510,35",Rb,
after,after,präp. u. adv.,simplex,,,,aftar,,,Glosse,"Gl 1,603,1","M, 2 Hss.",
after,after,präp. u. adv.,simplex,,,,aftar,,,Glosse,"Gl 1,650,54","ebda., 3 Hss.",
after,after,präp. u. adv.,simplex,,,,aftar,,,Glosse,"Gl 1,815,5",M,
after,after,präp. u. adv.,simplex,,,,aftar,,,Glosse,"Gl 2,286,46",M,
after,after,präp. u. adv.,simplex,,,,aftar,,,Glosse,"Gl 2,406,21",,
after,after,präp. u. adv.,simplex,,,,aftar,,,Glosse,"Gl 2,418,48",,
after,after,präp. u. adv.,simplex,,,,aftar,,,Glosse,"Gl 2,420,61",,
after,after,präp. u. adv.,simplex,,,,aftar,,,Glosse,"Gl 2,423,1",,
after,after,präp. u. adv.,simplex,,,,aftar,,,Glosse,"Gl 2,430,18",,
after,after,präp. u. adv.,simplex,,,,aftar,,,Glosse,"Gl 2,437,33",,
after,after,präp. u. adv.,simplex,,,,aftar,,,Glosse,"Gl 2,628,2",,
after,after,präp. u. adv.,simplex,,,,aftar,,,Glosse,"Gl 2,646,22",,
after,after,präp. u. adv.,simplex,,,,aftar,,,Glosse,"Gl 3,14,29",Sg 242,
after,after,präp. u. adv.,simplex,,,,aftar,,,Glosse,"S 372,3 = Wa 19,9",9. Jh.,
after,after,präp. u. adv.,simplex,,,,aftar,,,Glosse,"S 3,51",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 1,80,7",Pa,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 1,81,7",R,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 1,132,11",K Ra,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 1,178,18",K,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 1,299,19","2 Hss., Sg 295, 9. Jh.",
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 1,302,10",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 1,303,4",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 1,316,6",Rb,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 1,361,8","M, 3 Hss.",
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 1,365,9","clm 19 410, 9. Jh.",
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 1,603,1",M,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 1,610,36",M,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 1,650,57",M,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 1,651,6","M, 4 Hss.",
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 1,656,19","M, 2 Hss.",
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 1,736,45","S. Pauli xxv a/1, 8. Jh.",
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 1,781,23",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 2,1,12",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 2,97,23","3 Hss., clm 19417, 9. Jh.",
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 2,147,55","Frankf. 64, 9. Jh.",
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 2,270,58",M,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 2,286,45","ebda., 4 Hss.",
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 2,342,40","clm 6325. 19 410, beide 9. Jh.",
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 2,344,25",clm 6325,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 2,544,1",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 2,630,8",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 2,636,71",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 2,640,31",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 2,650,9",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 2,679,46",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 2,682,50",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 2,742,45",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 2,743,30",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 4,250,2",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 4,311,16",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 5,14,33",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 23,13",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 33,95",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 64,4",Hs. B,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 67,30",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 71,84",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 105,8",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 107,36",,
