Lemma_automatisch,Lemma_awb,Flexion,Komplexität,Mhd. Lemma,mhd_Flexion,Nhd. ÜS,Token,Kasus_token,Numerus_token,Texttyp,Edition,Handschrifteninfo_in_Klammern,Fragen
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Gl 2,245,36","Sg 299, 9./10. Jh.",
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Gl 2,246,47",,
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Gl 2,738,5",,
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Gl 3,17,34",,
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Gl 3,80,56","SH A, 6 Hss.",
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Gl 3,201,75",SH B,
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Gl 3,257,14",SH a2,
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Gl 3,442,48",,
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Gl 3,445,10",,
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Gl 3,446,48",,
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Gl 3,448,5",,
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Gl 5,58,4",,
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Nb 164,8",,
affo,affo,sw. m.,simplex,,,affe,affo,nom,sg,Glosse,"Nb 343,22","[176,10. 376,13]",
affo,affo,sw. m.,simplex,,,affe,affe,nom,sg,Glosse,"Gl 3,34,5",3 Hss.,
affo,affo,sw. m.,simplex,,,affe,affe,nom,sg,Glosse,"Gl 3,257,14",SH a2,
affo,affo,sw. m.,simplex,,,affe,affe,nom,sg,Glosse,"Gl 3,355,68",,
affo,affo,sw. m.,simplex,,,affe,affe,nom,sg,Glosse,"Gl 3,674,26",,
affo,affo,sw. m.,simplex,,,affe,affe,nom,sg,Glosse,"Gl 3,714,71",,
affo,affo,sw. m.,simplex,,,affe,affe,nom,sg,Glosse,"Gl 4,97,33",Sal. a1,
affo,affo,sw. m.,simplex,,,affe,affe,nom,sg,Glosse,"Gl 4,191,58",,
affo,affo,sw. m.,simplex,,,affe,affa,nom,sg,Glosse,"Gl 3,34,5",,
affo,affo,sw. m.,simplex,,,affe,affa,nom,sg,Glosse,"Gl 3,80,58","SH A, 15. Jh.",
affo,affo,sw. m.,simplex,,,affe,affen,nom,pl,Glosse,"Nb 164,7","[176,9]",
affo,affo,sw. m.,simplex,,,affe,affun,acc,pl,Glosse,"Gl 1,431,49",,
affo,affo,sw. m.,simplex,,,affe,affen,acc,pl,Glosse,"Gl 1,430,41",12. Jh.,
affo,affo,sw. m.,simplex,,,affe,afpho,nom,sg,Glosse,"Gl 2,261,46",Echternach 9. Jh.,
affo,affo,sw. m.,simplex,,,affe,afpho,nom,sg,Glosse,"Gl 3,446,48",11. Jh.,
affoltarboum,affoltarboum,st. m,komplex,,,,,,,,,,Verweis-Eintrag -> s. affalterboum
